paper_id,publish_year,paper_title,con_id
5ED7B57F,2003,Improving Still Image Coding by an SOM-Controlled Associative Memory,42CF1BB8
5F64AC39,1976,A two's complement pipeline multiplier,42D493FC
6D6A1D36,1976,Simple hybrid systems for accurate synthesis and analysis of harmonic spectra,42D493FC
5F4C123E,1976,Discrete convolution of complex integer sequences,42D493FC
6742EA4A,1976,Discrete Fourier transform based on a double-sampling and its applications,42D493FC
7E1B0FE5,1976,An algorithm for designing constrained least-squares filters,42D493FC
6C9B65D2,2004,Software Services: Scientific Challenge or Industrial Hype?,42D4CF15
5CCAC109,2004,A Formal Framework for Ontology Integration Based on a Default Extension to DDL,42D4CF15
5D494459,2004,A Predicate Spatial Logic and Model Checking for Mobile Processes,42D4CF15
5AB1DB79,2004,A Summary of the Tutorials at ICTAC 2004,42D4CF15
5B975EAF,2004,"Nelson-Oppen, Shostak and the Extended Canonizer: A Family Picture with a Newborn",42D4CF15
099FFB88,1988,Associate Memory-Based Reasoning: How to Represent and Retrieve Cases,42D8A0F3
6EEFB2DB,1998,Version Space Retraction with Instance-Based Boundary Sets,42D8A0F3
5EBD985C,1998,Constructing translations between individual vocabularies in multi-agent systems,42D8A0F3
5C75FA55,1998,Knowledge granularity and action selection,42D8A0F3
5DA3FF80,1998,Towards lifetime maintenance of case base indexes for continual case based reasoning,42D8A0F3
814D443E,2002,Program Termination Analysis in Polynomial Time,42D98AA6
64028C41,2002,Architectural Refactoring in Framework Evolution: A Case Study,42D98AA6
6411B6D1,2002,Managing Dynamic Changes in Multi-stage Program Generation Systems,42D98AA6
586808F1,2002,Altering Java Semantics via Bytecode Manipulation,42D98AA6
5A676444,2002,Generative Programming for Embedded Systems,42D98AA6
7C5572FE,2004,Ticket-based fine-grained authorization service in the dynamic VO environment,42DBFEF6
7EA3DE9B,2004,Security in WebCom: addressing naming issues for a web services architecture,42DBFEF6
7980C8A8,2004,Trust but verify: authorization for web services,42DBFEF6
816629F5,2004,Secure and flexible certificate access in WS-security through LDAP component matching,42DBFEF6
7EDD593A,2004,Proving a WS-Federation passive requestor profile,42DBFEF6
5EFAD9A9,2003,Active database systems for monitoring and surveillance,42E17B30
6D00E050,2003,CrimeLink explorer: using domain knowledge to facilitate automated crime association analysis,42E17B30
5F1D9E11,2003,Locating Hidden Groups in Communication Networks Using Hidden Markov Models,42E17B30
6C4085AF,2003,Authorship analysis in cybercrime investigation,42E17B30
5B9FA181,2003,Criminal Record Matching Based on the Vector Space Model,42E17B30
7E8449DC,2004,Computational Experiments with Minimum-Distance Controlled Perturbation Methods,42E401CE
591673F4,2004,Getting the Best Results in Controlled Rounding with the Least Effort,42E401CE
5E9E485B,2004,To Blank or not to Blank? : a comparison of the effects of disclosure limitation methods in nonlinear regression estimates,42E401CE
5D279F18,2004,Approaches to Identify the Amount of Publishable Information in Business Surveys through Waivers,42E401CE
5B2FD157,2004,Analysis of Re-identification Risk Based on Log-Linear Models,42E401CE
585F84AF,2003,Reliable Cascaded Delegation Scheme for Mobile Agent Environments,42E510A7
59AC980B,2003,CTAR: Classification Based on Temporal Class-Association Rules for Intrusion Detection,42E510A7
59E20B04,2003,A Comment on Group Independent Threshold Sharing,42E510A7
5C091F15,2003,Efficient Implementation of Relative Bid Privacy in Sealed-Bid Auction,42E510A7
5BE903C1,2003,Visualization of Dynamic Characteristics in Two-Dimensional Time Series Patterns: An Application to Online Signature Verification,42E510A7
5B51D2F1,1995,Requirements of the Cornell Theory Center for resource management and process scheduling,42ECFC7D
5AC01623,1995,On the Benefits and Limitations of Dynamic Partitioning in Parallel Computer Systems,42ECFC7D
5ACE1AFF,1995,Loop-Level Process Control: An Effective Processor Allocation Policy for Multiprogrammed Shared-Memory Multiprocessors,42ECFC7D
5E4616DA,1995,Scheduling to Reduce Memory Coherence Overhead on Coarse-Grain Multiprocessors,42ECFC7D
597EC29B,1995,Parallel Job Scheduling: Issues and Approaches,42ECFC7D
7BE48C56,1999,Accelerating telnet performance in wireless networks,42F14778
80B651E5,1999,Scheduling data broadcast to “impatient” users,42F14778
7A9303C0,1999,MOCA: a service framework for mobile computing devices,42F14778
7DF327B7,1999,Recovery guarantees in mobile systems,42F14778
7734F93B,1999,Impact of mobility on transaction management,42F14778
75DA820F,1995,The shadow cluster concept for resource allocation and call admission in ATM-based wireless networks,42F4F2CC
764AF815,1995,Comparing algorithm for dynamic speed-setting of a low-power CPU,42F4F2CC
77BBC346,1995,Improving TCP/IP performance over wireless networks,42F4F2CC
5A4E5F26,1995,An Optimization Method for the Channel Assignment in Mixed Environments,42F4F2CC
7D408D3D,1995,A routing protocol for packet radio networks,42F4F2CC
5C2E6456,1984,Persistent First Class Procedures are Enough,42F73407
5C47D161,1984,On the Mean Weight Balance Factor of Binary Trees,42F73407
5BA4F668,1984,Degrees of non-determinism and concurrency: A Petri net view,42F73407
5D0DEA7D,1984,Proof rules for communication abstractions,42F73407
5CDBA119,1984,Proof Rules for Communication Abstractions (Abstract),42F73407
0B69115B,1993,A SCRIPT BASED APPROACH FOR INTERACTIVE MULTIMEDIA APPLICATIONS,42F91B89
0AE6BCFB,1996,Using Domain Knowledge in Querying Image Databases,42F91B89
06358248,1996,Autonomous Entities in Distributed Virtual Environments,42F91B89
0331A199,1996,Holographic Images in Multimedia Information Systems,42F91B89
088B9761,1997,MODEL BASED FACE RECONSTRUCTION FOR ANIMATION,42F91B89
7D35615D,1946,Revisiting Single-view Shape Tensors: Theory and Applications,43001016
5A0A0F7F,1990,Using Occluding Contours for 3D Object Modeling,43001016
5D4E47D3,1990,On the Use of Motion Concepts for Top-Down Control in Traffic Scenes,43001016
5D3684C3,1990,Stereo correspondence from optic flow,43001016
7C4FCAEC,1990,Parallel and deterministic algorithms from MRFs: surface reconstruction and integration,43001016
8011CDE9,2001,Generic memoryless polygonal simplification,4300B64E
7B5B9E4C,2001,Experiences in porting a virtual reality system to Java,4300B64E
77DD951E,2001,Exploiting coherence of shadow rays,4300B64E
75674C8A,2001,Interacting with reflections in virtual environments,4300B64E
77542A74,2001,Low-cost model reconstruction from image sequences,4300B64E
7EE21234,1991,Automated diagnosis of VLSI failures,4300CAC5
80D79850,1991,IDDq benefits (digital CMOS testing),4300CAC5
7E51378C,1991,Efficient test generation for built-in self-test boundary-scan template,4300CAC5
802AD1DE,1991,An analysis of feedback bridging faults in MOS VLSI,4300CAC5
80C2F49D,1991,A partitioning method for achieving maximal test concurrency in pseudo-exhaustive testing,4300CAC5
805B0C7C,1999,Applying Logic Programming to Derive Novel Functional Information of Genomes,430122E0
803370EC,1999,Implementing a Declarative String Query Language with String Restructuring,430122E0
7E09C1D9,1999,Developing a Declarative Rule Language for Applications in Product Configuration,430122E0
5D77EAE5,1999,Dead Code Elimination through Dependent Types,430122E0
6CC6541D,1999,From Functional Animation to Sprite-Based Display,430122E0
7A4034BA,1970,A complete package for introducing computer science,4306948C
7B4FDE69,1970,Computer science in Israel' s institutions of higher learning,4306948C
791582D3,1970,Introducing the computer at a small liberal arts college,4306948C
78F33DDC,1970,The Computer Science teaching Laboratory at the University of Washington,4306948C
77B16258,1970,A student-designed Undergraduate program,4306948C
058121CF,1986,A Virtual Time CSMA Protocol for Hard Real Time Communication,4306EF42
7D3524B9,1988,The cyclic executive model and Ada,4306EF42
8165714D,1988,Exploiting unused periodic time for aperiodic service using the extended priority exchange algorithm,4306EF42
6A502334,1988,New approaches for the reconfiguration of two-dimensional VLSI arrays using time-redundancy,4306EF42
71910F3E,1988,Real-time synchronization protocols for multiprocessors,4306EF42
004AE09B,2002,The Promise of LP to Boost CSP Techniques for Combinatorial Problems,43073C3F
5CF334A7,2004,Filtering Algorithms for the Same Constraint,43073C3F
7D76F47A,2004,LP Relaxations of Multiple all_different Predicates,43073C3F
59D8C3EE,2004,SIMPL: A System for Integrating Optimization Techniques,43073C3F
5E7DD499,2004,The Challenge of Generating Spatially Balanced Scientific Experiment Designs,43073C3F
5F7799F8,1997,A Comparison of Design Strategies for 3D Human Motions,4307E237
645B96CB,2001,Diversity as a defense strategy in information systems. Does evidence from previous events support such an approach?,4307E237
69B65619,2002,A Cautionary Note Regarding the Data Integrity Capacity of Certain Secure Systems,4307E237
5FC888AD,2002,The way forward,4307E237
5B6C682B,2002,Implementation of the COBIT-3 Maturity Model in Royal Philips Electronics,4307E237
7FA8B4D6,2007,Visual Analysis of Weblog Content,4309C535
8212DECF,2007,"Our Grief is Unspeakable'': Automatically Measuring the Community Impact of a Tragedy	our grief is unspeakable automatically measuring the community impact of a tragedy	2014	2014/05/16		international conference on weblogs and social media	icwsm		4309C535	19534
2E29705A	On Modeling Brand Preferences in Item Adoptions	on modeling brand preferences in item adoptions	2014	2014/05/16		international conference on weblogs and social media	icwsm		4309C535	19555
8316E474	Why do People Retweet? Anti-Homophily Wins the Day!	why do people retweet anti homophily wins the day	2011	2011/07/05		international conference on weblogs and social media	icwsm		4309C535	18691
5911C5A5	EmotionWatch: Visualizing Fine-Grained Emotions in Event-Related Tweets	emotionwatch visualizing fine grained emotions in event related tweets	2014	2014		international conference on weblogs and social media	icwsm		4309C535	19555
7EFFED9F	Characterizing the Portuguese Blogosphere	characterizing the portuguese blogosphere	2009	2009		international conference on weblogs and social media	icwsm		4309C535	19231
02A815D1	The Distribution of Online Reputation: Audience and Influence of Musicians on MySpace	the distribution of online reputation audience and influence of musicians on myspace	2009			international conference on weblogs and social media	icwsm		4309C535	19555
016D7DA0	Unsupervised Real-Time Company Name Disambiguation in Twitter	unsupervised real time company name disambiguation in twitter	2012	2012/05/20		international conference on weblogs and social media	icwsm		4309C535	19125
0448A785	Docs.com: Social File Sharing in Facebook	docs com social file sharing in facebook	2012	2012/05/20		international conference on weblogs and social media	icwsm		4309C535	19258
04747C43	Competing to Share Expertise: The Taskcn Knowledge Sharing Community	competing to share expertise the taskcn knowledge sharing community	2008			international conference on weblogs and social media	icwsm		4309C535	18512
822FEFB8	Mathematical Models of Fads Explain the Temporal Dynamics of Internet Memes	mathematical models of fads explain the temporal dynamics of internet memes	2013	2013/06/28		international conference on weblogs and social media	icwsm		4309C535	18975
11991D44	Twitris v3: From Citizen Sensing to Analysis, Coordination and Action	twitris v3 from citizen sensing to analysis coordination and action	2013	2013/06/28		international conference on weblogs and social media	icwsm		4309C535	17077
5A1A2316	Social Intellisense: A Task-Embedded Interface to Folksonomies	social intellisense a task embedded interface to folksonomies	2010	2010/05/16		international conference on weblogs and social media	icwsm		4309C535	19404
5A872880	Faceplant: Impression (Mis)management in Facebook Status Updates	faceplant impression mis management in facebook status updates	2010	2010/05/16		international conference on weblogs and social media	icwsm		4309C535	18850
055F6659	From Generating to Mining: Automatically Scripting Conversations Using Existing Online Sources	from generating to mining automatically scripting conversations using existing online sources	2009			international conference on weblogs and social media	icwsm		4309C535	19224
7FC3FEF6	Social Dynamics of Digg	social dynamics of digg	2012	2012/01/31		international conference on weblogs and social media	icwsm		4309C535	19493
01762F72	Thin Slices of Online Profile Attributes	thin slices of online profile attributes	2008			international conference on weblogs and social media	icwsm		4309C535	18482
826A8699	Grassroots Professional Development: How Teachers Use Twitter	grassroots professional development how teachers use twitter	2012	2012/05/20		international conference on weblogs and social media	icwsm		4309C535	19146
840C3859	Combating Threats to Collective Attention in Social Media: An Evaluation	combating threats to collective attention in social media an evaluation	2013	2013/06/28		international conference on weblogs and social media	icwsm		4309C535	19513
04C9B5D7	Social Access Control for Social Media Using Shared Knowledge Questions	social access control for social media using shared knowledge questions	2008			international conference on weblogs and social media	icwsm		4309C535	19555
827797D1	Lightweight Contextual Ranking of City Pictures: Urban Sociology to the Rescue	lightweight contextual ranking of city pictures urban sociology to the rescue	2014	2014/05/16		international conference on weblogs and social media	icwsm		4309C535	19094
5DABF350	StepGreen.org: Increasing Energy Saving Behaviors via Social Networks	stepgreen org increasing energy saving behaviors via social networks	2010	2010/05/16		international conference on weblogs and social media	icwsm		4309C535	18917
84C53407	School Bullying in Twitter and Weibo: A Comparative Study	school bullying in twitter and weibo a comparative study	2014	2014/05/16		international conference on weblogs and social media	icwsm		4309C535	19498
0A07F752	Sidelines: An Algorithm for Increasing Diversity in News and Opinion Aggregators	sidelines an algorithm for increasing diversity in news and opinion aggregators	2009			international conference on weblogs and social media	icwsm		4309C535	18643
8290BDD5	The Life of the Party: Impact of Social Mapping in OpenStreetMap	the life of the party impact of social mapping in openstreetmap	2013	2013/06/28		international conference on weblogs and social media	icwsm		4309C535	17636
6A70A066	Is Your Profile Picture Worth 1000 Words? Photo Characteristics Associated with Personality Impression Agreement	is your profile picture worth 1000 words photo characteristics associated with personality impression agreement	2009	2009/03/20		international conference on weblogs and social media	icwsm		4309C535	19163
84B94D5C	Modeling Public Mood and Emotion: Twitter Sentiment and Socio-Economic Phenomena	modeling public mood and emotion twitter sentiment and socio economic phenomena	2011	2011/05/07		international conference on weblogs and social media	icwsm		4309C535	16740
824D41F6	Accessing Social Support and Overcoming Judgment on Social Media among Parents of Children with Special Needs	accessing social support and overcoming judgment on social media among parents of children with special needs	2014	2014/05/16		international conference on weblogs and social media	icwsm		4309C535	19402
00CD778C	Some Users Pack a Wallop: Measuring the Impact of Core Users on the Participation of Others in Online Social Systems	some users pack a wallop measuring the impact of core users on the participation of others in online social systems	2008			international conference on weblogs and social media	icwsm		4309C535	19555
723D934B	What catches your attention? An empirical study of attention patterns in community forums	what catches your attention an empirical study of attention patterns in community forums	2012	2012/06		international conference on weblogs and social media	icwsm		4309C535	19242
82FDA0AD	De-Layering Social Networks by Shared Tastes of Friendships	de layering social networks by shared tastes of friendships	2012	2012/05/20		international conference on weblogs and social media	icwsm		4309C535	19315
84C3E3AF	Unearthing People from the SaND: Relationship Discovery with Social Media in the Enterprise	unearthing people from the sand relationship discovery with social media in the enterprise	2011	2011/07/05		international conference on weblogs and social media	icwsm		4309C535	19426
588764B4	Optimal Heterophily for Word-of-Mouth Diffusion	optimal heterophily for word of mouth diffusion	2009	2009/03/20		international conference on weblogs and social media	icwsm		4309C535	17616
6C6E560F	StoryUpgrade: Finding Stories in Internet Weblogs	storyupgrade finding stories in internet weblogs	2008			international conference on weblogs and social media	icwsm		4309C535	18986
083DCBDF	Reconstruction of Threaded Conversations in Online Discussion Forums	reconstruction of threaded conversations in online discussion forums	2011	2011/05/07		international conference on weblogs and social media	icwsm		4309C535	19124
7EB48CDD	Exploring Social-Historical Ties on Location-Based Social Networks	exploring social historical ties on location based social networks	2012	2012/05/20		international conference on weblogs and social media	icwsm		4309C535	18033
7DF3E561	A Qualitative Examination of Topical Tweet and Retweet Practices	a qualitative examination of topical tweet and retweet practices	2010	2010/05/16		international conference on weblogs and social media	icwsm		4309C535	18155
07D03A50	You Are Known by How You Vlog: Personality Impressions and Nonverbal Behavior in YouTube	you are known by how you vlog personality impressions and nonverbal behavior in youtube	2011	2011/05/07		international conference on weblogs and social media	icwsm		4309C535	18926
7CF9BB33	Extraction of Topical Consumer Products from Weblogs	extraction of topical consumer products from weblogs	2008			international conference on weblogs and social media	icwsm		4309C535	19150
03CA577B	When the Wikipedians Talk: Network and Tree Structure of Wikipedia Discussion Pages	when the wikipedians talk network and tree structure of wikipedia discussion pages	2011	2011/05/07		international conference on weblogs and social media	icwsm		4309C535	18352
7D9CED0C	Analyzing and predicting community preference of socially generated metadata: A case study on comments in the digg community	analyzing and predicting community preference of socially generated metadata a case study on comments in the digg community	2009	2009		international conference on weblogs and social media	icwsm		4309C535	17783
5F24FA80	Document Representation and Query Expansion Models for Blog Recommendation	document representation and query expansion models for blog recommendation	2008	2008		international conference on weblogs and social media	icwsm		4309C535	17890
819D8493	Identifying Microblogs for Targeted Contextual Advertising	identifying microblogs for targeted contextual advertising	2012	2012/05/20		international conference on weblogs and social media	icwsm		4309C535	19165
5F536CD6	Sequential Influence Models in Social Networks	sequential influence models in social networks	2010	2010/05/16		international conference on weblogs and social media	icwsm		4309C535	18574
09669CAD	Tags are not Metadata, but Just More Content"" - to Some People",4309C535
4B2A3B42,2007,"Groups and Group-Instantiations in Mobile Communities - Detection, Modeling and Applications",4309C535
7E733A47,2007,Using Blog Properties to Improve Retrieval,4309C535
8129550D,2007,How to Overcome Tiredness: Estimating Topic-Mood Associations,4309C535
5B63EA5F,2003,C : C++ = JavaMM: Java,430A5A1A
6E6ED986,2003,An advanced signal processing toolkit for JAVA applications,430A5A1A
72609630,2003,Supporting interactive invocation of remote services within an integrated programming environment,430A5A1A
7D5493F0,2003,JEstelle novel approach to the distributed Java systems specification and development,430A5A1A
5833F6A3,2003,Object persistence in Java,430A5A1A
7AC1041D,1991,The weak mutation hypothesis,430D9705
7A7F23FF,1991,Loop monotonic computations: an approach for the efficient run-time detection of races,430D9705
7D655D4A,1991,Experiments with an improved constrained expression toolset,430D9705
76F48580,1991,Compositional reachability analysis using process algebra,430D9705
76E76E93,1991,Concurrency analysis in the presence of procedures using a data-flow framework,430D9705
81CE6F2C,2003,Randomized Priority Algorithms,430E4089
5B7AE482,2003,Minimum sum multicoloring on the edges of trees (Extended Abstract),430E4089
81E6FD21,2003,Minimum Sum Multicoloring on the Edges of Trees,430E4089
810B564D,2003,How to Whack Moles,430E4089
58978BD9,2003,Scheduling to Minimize Average Completion Time Revisited: Deterministic On-Line Algorithms,430E4089
635F1697,1997,Automating the Construction of Authority Files in Digital Libraries: A Case Study,430EDF97
58629073,1997,Text Segmentation by Topic,430EDF97
5CF2EE20,1997,The Electronic Colloquium on Computational Complexity (ECCC): A Digital Library in Use,430EDF97
5F50C9A0,1997,Comprehension and Object Recognition Capabilities for Presentations of Simultaneous Video Key Frame Surrogates,430EDF97
5DE1E4B9,1997,Relevance Feedback and Query Expansion for Searching the Web: A Model for Searching a Digital Library,430EDF97
5ED2958C,2003,Preconcept Algebras and Generalized Double Boolean Algebras,430F1CC9
5AE9A892,2004,A Parallel Algorithm to Generate Formal Concepts for Large Data,430F1CC9
6ED6B23D,2004,FCA in Knowledge Technologies: Experiences and Opportunities,430F1CC9
5B5366BB,2004,AddIntent: A New Incremental Algorithm for Constructing Concept Lattices,430F1CC9
09AD6E37,2004,Towards a Conceptual Theory of Indistinguishable Objects,430F1CC9
064E1372,2003,Analysis of Multiclass Support Vector Machines,43123418
807B0912,2005,A Skill-Based PID Controller Using Artificial Neural Networks,43123418
7E651172,2005,Wireless Sensor Networks for Industrial Environments,43123418
7F0A6E82,2005,A Prototype Intelligent Agent Based DSS for Quadratic Portfolio Optimization Calculations with Case Based Reasoning,43123418
7636D830,2005,Algorithm for comparing two different Printouts of the same PDF Document,43123418
7EB25662,2003,Adaptive object identification and recognition using neural networks and surface signatures,43137C5C
7D7F6EE1,2003,A change-detection algorithm based on structure and colour,43137C5C
7E23794C,2003,3D face modeling using two views and a generic face model with application to 3D face recognition,43137C5C
7F612150,2003,Human detection using depth and gray images,43137C5C
7DF54569,2003,Recognition and detection of occluded faces by a neural network classifier with recursive data reconstruction,43137C5C
0786F14D,1993,KNOWLEDGE ARCHITECTURE FOR ENVIRONMENT REPRESENTATION IN AUTONOMOUS AGENTS,431CE69C
5DECCAC2,1993,Diagnostic Reasoning and Planning in Exploratory-Corrective Domains,431CE69C
811D2144,1995,An Empirical Comparison of Discretization Methods,431CE69C
647697CB,1998,An interactive interface for directing virtual humans,431CE69C
0A7A69FA,1998,Object-Oriented Views: Virtues and Limitations,431CE69C
5C5371D2,1997,Context as a Spurious Concept,4321CC25
5E84D3D5,2000,Parse Tree Probability in Data Oriented Parsing,4321CC25
7E5E96D6,2001,Experiments on extracting knowledge from a machine-readable dictionary of synonym differences,4321CC25
5BD4C802,2001,The Referring Expressions in the Other’s Comment,4321CC25
6B1A7DE2,2001,Practical Nondeterministic DR(k) Parsing on Graph-Structured Stack,4321CC25
5F20227B,2000,Development of CAI system employing synthesized speech and CG animated agent,432251B5
7E788E8A,2000,Gesture-enhanced information retrieval and presentation in a distributed learning environment,432251B5
815D288F,2000,Bandwidth adaptive smoothing for multimedia delivery,432251B5
612C198F,2000,Architecture and mechanisms of a Web-based video data management system,432251B5
806DECCD,2000,Issues on mobile ad-hoc WANs,432251B5
7CC0D6BA,1987,High-performance computer architecture,43226B44
8020C072,1995,Access ordering and memory-conscious cache utilization,43226B44
80BEBED6,1995,Implementation of atomic primitives on distributed shared memory multiprocessors,43226B44
7D05AF61,1995,Improving performance by cache driven memory management,43226B44
7DA309C1,1995,"Implementing register interlocks in parallel-pipeline, multiple instruction queue, superscalar processors",43226B44
618D01BB,1994,Reducing the complexity of ATM Host Interfaces,43247716
7F97B9AD,1994,Low-latency communication over ATM Networks using Active Messages,43247716
71CCD2FD,1994,PCI for multimedia applications,43247716
81049BAD,1994,Data services over cdma digital cellular,43247716
7E9E7AA1,1994,Using an ATM interconnect as a high performance I/O backplanet,43247716
5D3B4AA1,1994,Noise Reduction by Multi-Target Learning,4326CCD6
5CF4259C,1997,Kohonen Maps Versus Vector Quantization for Data Analysis,4326CCD6
02B980B2,1998,Weight saliency regularization in augmented networks,4326CCD6
02B91128,1998,NAR time-series prediction: a Bayesian framework and an experiment,4326CCD6
0A52880E,1998,Invariant feature maps for analysis of orientations in image data,4326CCD6
0466FC94,2004,A Study of Semi-discrete Matrix Decomposition for LSI in Automated Text Categorization,43282CD8
58D15A6E,2004,Capturing long distance dependency for language modeling: an empirical study,43282CD8
5FB0079D,2004,Long Distance Dependency in Language Modeling: An Empirical Study,43282CD8
59C5370C,2004,Conceptual Information-Based Sense Disambiguation,43282CD8
5B4A1F24,2004,Syntactic analysis of long sentences based on s-clauses,43282CD8
7BE1F562,2005,Stealth distributed hash table: unleashing the real potential of peer-to-peer,432BB4B8
793ABE29,2005,Using virtual coordinates in the establishment of inter-domain LSPs,432BB4B8
7B675E07,2005,Impacts of packet scheduling and packet loss distribution on FEC Performances: observations and recommendations,432BB4B8
7EA6A485,2005,Ranking flows from sampled traffic,432BB4B8
7B139002,2005,SFG: smart flooding by gossiping,432BB4B8
81636FB8,1999,A scalable BIST architecture for delay faults,432DDB7E
7F53E5F5,1999,A new BIST architecture for low power circuits,432DDB7E
